Kp_real;Bz_GSM;Density;Speed;Magnitud_IMF
0,01;0,244560521;0,77531943;-0,500713592;-0,408593354
0,01;0,143079867;0,815599476;-0,550303582;-0,770112212
0,01;-0,195188979;0,815599476;-0,570139578;-0,67151616
0,01;-0,05988144;0,77531943;-0,589975574;-0,572920108
0;0,007772329;0,654479293;-0,649483562;-0,572920108
0;0,176906752;0,694759339;-0,649483562;-0,605785458
0;0,041599213;0,735039384;-0,699073552;-0,474324055
0,333;0,176906752;0,654479293;-0,65940156;-0,112805197
0,333;0,278387406;0,594059224;-0,649483562;0,051521557
0,333;0,109252983;0,63433927;-0,60981157;0,051521557
0,667;0,31221429;0,916299591;-0,649483562;0,018656206
0,667;0,210733636;1,198259912;-0,629647566;-0,211401249
0,667;-0,296669633;1,319100049;-0,589975574;-0,178535898
1,667;-0,668765363;1,379520118;-0,56022158;-0,079939846
1,667;0,481348713;1,46008021;-0,480877596;-0,605785458
1,667;0,549002482;1,339240072;-0,461041601;-0,605785458
1,333;-0,195188979;1,419800164;-0,461041601;-0,868708265
1,333;0,684310021;1,60106037;-0,500713592;-0,835842914
1,333;0,582829367;1,701760485;-0,520549588;-1,263092474
0,01;0,549002482;1,580920347;-0,540385584;-1,328823176
0,01;0,244560521;1,399660141;-0,56022158;-1,230227123
0,01;0,210733636;0,97671966;-0,589975574;-1,000169668
0,01;-0,05988144;-0,090701556;-0,500713592;-0,277131951
0,01;-0,093708325;0,070418628;-0,391615615;-0,540054757
0,01;-0,364323402;0,090558651;-0,411451611;-0,605785458
1,667;-0,05988144;-0,05042151;-0,421369609;-0,638650809
1,667;0,075426098;-0,090701556;-0,431287607;-0,638650809
1,667;0,109252983;-0,05042151;-0,441205605;-0,605785458
0,01;0,143079867;0,15097872;-0,401533613;-0,704381511
0,01;-0,12753521;-0,130981602;-0,431287607;-0,540054757
0,01;0,278387406;0,432939041;-0,342025625;-0,967304317
0,333;0,176906752;0,63433927;-0,332107627;-1,361688526
0,333;-0,12753521;0,493359109;-0,381697617;-1,164496422
0,333;0,176906752;0,473219086;-0,441205605;-1,197361773
0,667;0,278387406;0,573919201;-0,51063159;-1,394553877
0,667;0,075426098;0,594059224;-0,550303582;-1,394553877
0,667;0,143079867;0,63433927;-0,570139578;-1,49314993
0,01;-0,12753521;0,614199247;-0,589975574;-1,460284579
0,01;-0,161362094;0,573919201;-0,580057576;-1,460284579
0,01;-0,093708325;0,513499132;-0,619729568;-1,361688526
0,667;-0,026054556;0,594059224;-0,689155554;-1,427419228
0,667;0,278387406;0,654479293;-0,699073552;-1,460284579
0,667;0,109252983;0,916299591;-0,748663541;-1,52601528
0,01;-0,229015863;0,996859683;-0,788335533;-1,460284579
0,01;-0,05988144;1,11769982;-0,818089527;-1,427419228
0,01;-0,431977171;0,916299591;-0,798253531;-1,000169668
0,02;-0,702592248;0,916299591;-0,768499537;-0,737246862
0,02;-0,49963094;1,218399935;-0,758581539;-0,770112212
0,02;0,718136905;1,339240072;-0,808171529;-0,802977563
0,01;0,582829367;1,016999705;-0,818089527;-0,802977563
0,01;0,515175598;1,057279751;-0,768499537;-0,967304317
0,01;-0,634938478;0,996859683;-0,808171529;-0,868708265
1,667;-0,804072901;1,016999705;-0,857761519;-0,704381511
1,667;-0,093708325;1,077419774;-0,877597515;-0,901573616
